7:1653,3751,14617,29192,31390,39604,44671,67162,70864,107295
18:138,380,449,521,1622,2163,4048,5581,5881,120011
19:40,375,535,875,1069,1930,2162,2275,2703,19480
36:11485,19220,22340,24958,27487,37633,51043,51241,59439,77419
37:17,65,84,296,1239,6009,9617,10520,16288,57491
41:356,1440,2922,3890,4499,14202,18867,21929,35589,43577
42:84,131,518,1009,1102,2008,2193,3642,3824,62137
43:48,58,101,138,289,496,554,899,1187,1804
44:15,97,1217,1653,2316,2338,3751,5413,5710,26042
45:347,4858,11557,11751,14021,15580,19829,65060,74038,110820
46:109,3751,7506,12175,17769,18256,19431,38663,45422,46215
59:119,1039,4338,9580,13083,14617,16134,17769,29709,37900
60:302,1890,3751,3943,6011,6848,8964,17934,18578,21297
69:559,813,1217,1890,5465,8276,9931,14551,16319,31063
70:48,239,546,899,1187,17934,22134,34147,51241,59931
94:119,322,559,1152,6175,8276,9617,11626,12066,20553
106:326,749,2061,3751,4338,8964,12015,14202,32199,67595
115:578,709,966,1360,2816,2982,3751,10610,12015,25174
116:138,449,834,859,1164,1200,29001,29574,35934,54389
142:296,454,709,1449,1965,2168,5176,8487,18867,19984
143:8,17,58,76,302,616,654,866,49245,86747
148:378,1405,5103,5545,6024,6346,11804,18867,46215,66439
150:73,101,289,554,861,1231,1549,1804,4174,5575
156:568,2772,7029,8423,11998,19220,26325,35955,52773,79909
161:179,327,1039,1403,1926,3751,9580,9581,12259,13062
171:3751,9372,14617,27875,28641,32825,63818,68323,91410,107049
172:909,1217,1937,3265,3943,8100,9850,18971,39134,79942
174:17,302,4608,20582,33107,68438,74620,82864,90200,103672
177:29,873,931,40537,44610,45649,51942,57200,61543,118911
196:427,650,3476,3751,4578,9906,12175,12440,14617,17164
202:220,1653,2061,2922,3751,4485,7396,9580,15289,29221
211:431,481,873,2583,7048,23308,39320,68281,115885,118581
217:17,1023,26935,55991,59260,60689,66260,67572,70685,85531
220:186,7649,10178,22713,39446,40356,45641,58738,64973,93455
223:119,167,559,3013,3943,8100,12564,13717,25563,33659
224:4797,7126,14867,15627,15846,24044,45229,51115,53543,68162
225:353,3476,7323,10353,17033,32619,51458,74097,75086,92883
228:86,254,568,650,708,3017,3163,5514,7194,10039
229:23,749,1410,1653,2068,3751,8964,18578,21297,32199
231:2904,15787,19932,26371,27785,50037,55229,69032,69198,107022
232:37449,41443,48256,48718,60364,62228,77322,77677,108129,120622
238:26712,39027,42397,56418,57270,75728,101071,102559,106885,113860
241:502,3751,4909,7973,9047,30002,39604,51027,61803,79942
245:40,70,81,226,262,873,986,1535,2162,40012
249:302,8483,8871,12909,17901,17934,29258,71714,91955,106187
250:285,2031,3250,8355,9850,16347,29841,49734,50662,51027
253:678,1435,1551,3140,3789,12820,16939,39901,68990,113702
257:65,296,354,709,749,3751,8489,14617,29221,32831
272:29,239,269,749,1102,1476,3234,47387,70019,80239
273:967,3085,9372,16311,17196,19529,19719,39947,43373,57074
288:116,699,1548,2731,3751,5998,8489,15787,16205,50153
290:94,138,901,1382,13501,18867,27785,50662,69198,86031
291:88,1050,5006,9581,9910,10511,16625,16852,61628,61772
292:749,5445,9850,10022,10930,17769,19529,26096,30002,32199
294:2731,15466,19529,28736,31901,39604,46773,49333,51241,81222
328:3,239,395,726,837,1567,2361,2868,5025,6284
331:302,749,813,1476,3234,16230,18666,53133,98172,108648
345:17,224,518,650,866,1754,11401,29573,62840,77581
361:3751,3943,17934,19531,22134,33584,47387,65704,70019,80239
376:3,17,45,194,395,1140,1567,2868,3730,8683
384:1684,1979,4940,8489,31390,53143,68573,79542,83528,100957
401:326,749,1009,2061,3751,8964,12175,14202,17769,19431
402:3304,4054,4793,8964,16056,18666,35589,38705,79409,79942
410:5450,9709,11917,15787,39166,55229,62566,64408,100834,113702
448:598,713,849,1890,3344,9580,17532,24292,53377,76092
449:65,1039,2922,5214,11484,17275,26062,29221,30708,54210
450:65,116,193,559,990,1039,5567,8105,8276,25061
452:749,5869,9250,13523,15250,22576,23323,51765,69268,81553
476:245,398,3482,3493,4793,5117,5178,7959,8213,24568
488:376,1196,1548,3304,4478,26834,27293,43182,50414,51043
490:3751,4338,9372,9906,12015,12175,17769,19529,26096,35840
494:11,356,1212,5882,6923,9942,10066,14202,25035,70506
500:1912,4075,4756,5080,7795,8197,8861,12253,14750,21171
514:97,1109,2030,5214,8276,18287,36122,65642,75415,81864
525:116,10353,11485,12165,12175,14912,29039,52303,58157,90261
535:17,3751,8489,9850,12318,17769,18666,18971,27321,80239
536:97,749,813,8276,8964,17275,19691,32848,47309,69198
